Date,Title,URL,Has Alignment,Turkey,North Macedonia,Montenegro,Serbia,Albania,Ukraine,Moldova,Bosnia and Herzegovina,Georgia,Iceland,Liechtenstein,Norway,Armenia,Azerbaijan,Andorra,Monaco,San Marino,UK
2025-01-22,European Cinema at its finest – free film screenings of 2025 LUX Audience Award nominees,https://www.eeas.europa.eu/delegations/un-new-york/european-cinema-its-finest-%E2%80%93-free-film-screenings-2025-lux-audience-award-nominees_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-03-18,The European Union at the 69th UN Commission on the Status of Women | Beijing+30,https://www.eeas.europa.eu/delegations/un-new-york/european-union-69th-un-commission-status-women-beijing30_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-16,The Critical Role of Human Rights in Realizing the Pact for the Future,https://www.eeas.europa.eu/delegations/un-new-york/critical-role-human-rights-realizing-pact-future_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-17,ACT to End Violence against Women: Official Programme Launch,https://www.eeas.europa.eu/delegations/un-new-york/act-end-violence-against-women-official-programme-launch_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-18,Accelerating Spotlight Initiative&#039;s High-Impact Effort to End Violence against Women &amp; Girls,https://www.eeas.europa.eu/delegations/un-new-york/accelerating-spotlight-initiatives-high-impact-effort-end-violence-against-women-girls_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-18,Three years on: supporting Afghan women&#039;s rights,https://www.eeas.europa.eu/delegations/un-new-york/three-years-supporting-afghan-womens-rights_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-18,"Parliaments and Parliamentary Partnerships for the Women, Peace and Security Agenda",https://www.eeas.europa.eu/delegations/un-new-york/parliaments-and-parliamentary-partnerships-women-peace-and-security-agenda_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-19,Risks on the Horizon,https://www.eeas.europa.eu/delegations/un-new-york/risks-horizon_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-09-20,Tapping into Innovative Financing Instruments to Accelerate Sustainable Development: A Roadmap to Just Development Finance,https://www.eeas.europa.eu/delegations/un-new-york/tapping-innovative-financing-instruments-accelerate-sustainable-development-roadmap-just-development_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-10-18,15 Years of Advancing Accountability for Sexual Violence in Conflict: Strengthening the Judicial Responses in the Context of Terrorism,https://www.eeas.europa.eu/delegations/un-new-york/15-years-advancing-accountability-sexual-violence-conflict-strengthening-judicial-responses-context_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-10-22,Freedom of religion or belief as a tool for the promotion of peace,https://www.eeas.europa.eu/delegations/un-new-york/freedom-religion-or-belief-tool-promotion-peace_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-10-23,Strengthening EU-Africa Cooperation in Space,https://www.eeas.europa.eu/delegations/un-new-york/strengthening-eu-africa-cooperation-space_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
